Sysname,model,source,network,description
TAPCOL-CHP8028-GA,7750,10.190.2.232,11000,IPMEAN-external:TP_policy
LAUREL-CHP8022-GA,7750,10.190.2.233,11000,IPMEAN-external:TP_policy
CANGTA-IUSTB00944-WA,7750,10.190.2.234,11000,IPMEAN-external:TP_policy
TULIPA-CHP8023-GA,7750,10.190.2.235,11000,IPMEAN-external:TP_policy
MERMTX-YUC8012-EA,7750,10.190.2.238,11000,IPMEAN-external:TP_policy
MERMTX-YUC8012-EB,7750,10.190.2.239,11000,IPMEAN-external:TP_policy
PERSEO-AGS6014-GA,7750,10.190.2.24,11000,IPMEAN-external:TP_policy
MERMTX-YUC8012-SA,7450,10.190.2.240,11000,IPMEAN-external:TP_policy
MERMTX-YUC8012-SB,7450,10.190.2.241,11000,IPMEAN-external:TP_policy
MERGTA-IUSTB00976-WA,7750,10.190.2.249,11000,IPMEAN-external:TP_policy
ESPANA-SLP6003-GA,7750,10.190.2.25,11000,IPMEAN-external:TP_policy
CANMTX-ROO8018-CA,7750,10.190.2.250,11000,IPMEAN-external:TP_policy
CANMTX-ROO8018-CB,7750,10.190.2.251,11000,IPMEAN-external:TP_policy
CAMPES-AGS6006-GA,7750,10.190.2.26,11000,IPMEAN-external:TP_policy
ACSGTA-BB019-WA,7750,10.190.2.27,11000,IPMEAN-external:TP_policy
GUADPE-GPE6006-GA,7750,10.190.2.28,11000,IPMEAN-external:TP_policy
ZACGTA-ZAC6006-WA,7750,10.190.2.29,11000,IPMEAN-external:TP_policy
SLPMTX-SLP162H-GA,7750,10.190.2.31,11000,IPMEAN-external:TP_policy
IGNMAR-SLP151H-GA,7750,10.190.2.32,11000,IPMEAN-external:TP_policy
LASHAD-AGS6012-GA,7750,10.190.2.33,11000,IPMEAN-external:TP_policy
ALAMIT-SLP6017-GA,7750,10.190.2.34,11000,IPMEAN-external:TP_policy
TINREV-QRO102-GA,7750,10.190.2.36,11000,IPMEAN-external:TP_policy
TECNOL-QUE6009-GA,7750,10.190.2.38,11000,IPMEAN-external:TP_policy
JARDIN-QUE6015-GA,7750,10.190.2.39,11000,IPMEAN-external:TP_policy
SANJUA-QUE6008-GA,7750,10.190.2.40,11000,IPMEAN-external:TP_policy
SANPAB-QUE6017-GA,7750,10.190.2.41,11000,IPMEAN-external:TP_policy
ALLEND-GUJ6059-GA,7750,10.190.2.64,11000,IPMEAN-external:TP_policy
SNMIAL-GUJ6033-GA,7750,10.190.2.66,11000,IPMEAN-external:TP_policy
QRO-R7-EA,7750,10.190.2.68,11000,IPMEAN-external:TP_policy
QRO-R7-EB,7750,10.190.2.69,11000,IPMEAN-external:TP_policy
LEO-R3-EA,7750,10.190.2.72,11000,IPMEAN-external:TP_policy
LEO-R3-EB,7750,10.190.2.73,11000,IPMEAN-external:TP_policy
ZAC-R21-EB,7750,10.190.2.81,11000,IPMEAN-external:TP_policy
ZAC-R21-GA-A,7750,10.190.2.82,11000,IPMEAN-external:TP_policy
ZAC-R21-GA-B,7750,10.190.2.83,11000,IPMEAN-external:TP_policy
SANJUANDELOSLAGOS-WA,7750,10.190.2.84,11000,IPMEAN-external:TP_policy
SNJUALA-JAL5031S-GA,7750,10.190.2.85,11000,IPMEAN-external:TP_policy
SALAMANCA-WA,7750,10.190.2.86,11000,IPMEAN-external:TP_policy
VILLAF-GUJ6111-GA,7750,10.190.2.87,11000,IPMEAN-external:TP_policy
ZAMORA-WA,7750,10.190.2.88,11000,IPMEAN-external:TP_policy
SILAO-WA,7750,10.190.2.90,11000,IPMEAN-external:TP_policy
SNMIGAL-GUJ6033-WA,7750,10.190.2.92,11000,IPMEAN-external:TP_policy
APIZACO-PUE7073-WA,7750,10.190.2.94,11000,IPMEAN-external:TP_policy
APIZACO-TLAX7005-GA,7750,10.190.2.95,11000,IPMEAN-external:TP_policy
PZR-R14-EA,7750,10.190.2.96,11000,IPMEAN-external:TP_policy
PZR-R14-EB,7750,10.190.2.97,11000,IPMEAN-external:TP_policy
PZR-R14-GA-A,7750,10.190.2.98,11000,IPMEAN-external:TP_policy
PZR-R14-GA-B,7750,10.190.2.99,11000,IPMEAN-external:TP_policy
PCGTAC-IUSTB00943-WA,7750,10.190.3.0,11000,IPMEAN-external:TP_policy
PLACAR-ROO8017-GA,7750,10.190.3.1,11000,IPMEAN-external:TP_policy
VIHMTX-TAB8018-SA,7450,10.190.3.10,11000,IPMEAN-external:TP_policy
PANTIT-MEX118H-CA,7750,10.190.3.100,11000,IPMEAN-external:TP_policy
ALBOLI-MEX9700-CA,7750,10.190.3.101,11000,IPMEAN-external:TP_policy
CAMARA-MEX9220-GA,7750,10.190.3.102,11000,IPMEAN-external:TP_policy
LINDAV-MEX9075-GA,7750,10.190.3.103,11000,IPMEAN-external:TP_policy
PELICA-MEX9265-GA,7750,10.190.3.104,11000,IPMEAN-external:TP_policy
BENJUA-MEX9297-GA,7750,10.190.3.105,11000,IPMEAN-external:TP_policy
NARVAR-MEX9230-GA,7750,10.190.3.106,11000,IPMEAN-external:TP_policy
LA-PAZ-MEX9163-GA,7750,10.190.3.107,11000,IPMEAN-external:TP_policy
LOSREY-MEX9207-GA,7750,10.190.3.108,11000,IPMEAN-external:TP_policy
RIOFRI-MEX115-GA,7750,10.190.3.109,11000,IPMEAN-external:TP_policy
VIHMTX-TAB8018-SB,7450,10.190.3.11,11000,IPMEAN-external:TP_policy
IZTAPA-MEX116H-GA,7750,10.190.3.110,11000,IPMEAN-external:TP_policy
TAXQUE-MEX9113-GA,7750,10.190.3.111,11000,IPMEAN-external:TP_policy
MIRAMO-MEX9251-GA,7750,10.190.3.112,11000,IPMEAN-external:TP_policy
AZTNOV-MEX174-GA,7750,10.190.3.113,11000,IPMEAN-external:TP_policy
CABJUA-MEX9066-GA,7750,10.190.3.114,11000,IPMEAN-external:TP_policy
NEZA-MEX9079-GA,7750,10.190.3.115,11000,IPMEAN-external:TP_policy
TLAHUA-MEX9170-GA,7750,10.190.3.116,11000,IPMEAN-external:TP_policy
TULYEH-MEX9169-GA,7750,10.190.3.117,11000,IPMEAN-external:TP_policy
CULHUA-MEX9091-GA,7750,10.190.3.118,11000,IPMEAN-external:TP_policy
CHURUB-MEX9028-GA,7750,10.190.3.119,11000,IPMEAN-external:TP_policy
MAQUEV-MEX9289-GA,7750,10.190.3.120,11000,IPMEAN-external:TP_policy
PEDRSU-MEX089-GA,7750,10.190.3.121,11000,IPMEAN-external:TP_policy
FUEBRO-MEX155H-GA,7750,10.190.3.123,11000,IPMEAN-external:TP_policy
TORUNE-MEX9544-GA,7750,10.190.3.124,11000,IPMEAN-external:TP_policy
NEXTEN-MEX056-GA,7750,10.190.3.125,11000,IPMEAN-external:TP_policy
LASOLE-MEX9161-GA,7750,10.190.3.126,11000,IPMEAN-external:TP_policy
TECAMA-MEX9115-GA,7750,10.190.3.127,11000,IPMEAN-external:TP_policy
ANAHUA-MEX1089-GA,7750,10.190.3.128,11000,IPMEAN-external:TP_policy
CUAJIM-MEX9084-GA,7750,10.190.3.129,11000,IPMEAN-external:TP_policy
AZCAPO-MEX9011-GA,7750,10.190.3.130,11000,IPMEAN-external:TP_policy
ECHEGA-MEX9184-GA,7750,10.190.3.131,11000,IPMEAN-external:TP_policy
CLAVER-MEX9047-GA,7750,10.190.3.132,11000,IPMEAN-external:TP_policy
HIPODR-MEX9039-GA,7750,10.190.3.133,11000,IPMEAN-external:TP_policy
LARAZA-MEX9119-GA,7750,10.190.3.135,11000,IPMEAN-external:TP_policy
ALAMED-MEX9117-GA,7750,10.190.3.137,11000,IPMEAN-external:TP_policy
ROMNTE-HMEX0172-GA,7750,10.190.3.138,11000,IPMEAN-external:TP_policy
CONDES-MEX9062-GA,7750,10.190.3.139,11000,IPMEAN-external:TP_policy
ALBOLI-MEX9700-EA,7750,10.190.3.140,11000,IPMEAN-external:TP_policy
CUERN1-MORL9025-GA,7750,10.190.3.141,11000,IPMEAN-external:TP_policy
CAPUFE-MORL9022-GA,7750,10.190.3.142,11000,IPMEAN-external:TP_policy
CUERN2-MORL9004-GA,7750,10.190.3.143,11000,IPMEAN-external:TP_policy
ZODIAC-MORL9021-GA,7750,10.190.3.145,11000,IPMEAN-external:TP_policy
CUERN3-MORL9006-GA,7750,10.190.3.146,11000,IPMEAN-external:TP_policy
VABGTA-IUSTB00947-WA,7750,10.190.3.147,11000,IPMEAN-external:TP_policy
TECPAC-HID9005-GA,7750,10.190.3.149,11000,IPMEAN-external:TP_policy
NUEHID-HID9012-GA,7750,10.190.3.150,11000,IPMEAN-external:TP_policy
VILALA-HID9014-GA,7750,10.190.3.151,11000,IPMEAN-external:TP_policy
CUBIUS-HID9002-GA,7750,10.190.3.152,11000,IPMEAN-external:TP_policy
TEPEY-HID9071-GA,7750,10.190.3.153,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-SA,7450,10.190.3.154,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-SB,7450,10.190.3.155,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-EA,7750,10.190.3.156,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-EB,7750,10.190.3.157,11000,IPMEAN-external:TP_policy
AREMEX-MEX9851-GA,7750,10.190.3.164,11000,IPMEAN-external:TP_policy
CANMTX-ROO8018-EA,7750,10.190.3.17,11000,IPMEAN-external:TP_policy
CANMTX-ROO8018-EB,7750,10.190.3.18,11000,IPMEAN-external:TP_policy
CANMTX-ROO8018-SA,7450,10.190.3.19,11000,IPMEAN-external:TP_policy
CANMTX-ROO8018-SB,7450,10.190.3.20,11000,IPMEAN-external:TP_policy
TLALNE-MEX9226-SA,7450,10.190.3.209,11000,IPMEAN-external:TP_policy
TLALNE-MEX9226-SB,7450,10.190.3.210,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-IEA,7750,10.190.3.213,11000,IPMEAN-external:TP_policy
SANFCO-MEX9238-GA,7750,10.190.3.214,11000,IPMEAN-external:TP_policy
MCSXOC-MEX506H-GA,7750,10.190.3.216,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-SC,7450,10.190.3.218,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-SD,7450,10.190.3.219,11000,IPMEAN-external:TP_policy
LEGARIA-MEX9076-GA,7750,10.190.3.230,11000,IPMEAN-external:TP_policy
NEWMAN-GA,7750,10.190.3.232,11000,IPMEAN-external:TP_policy
MEX-M1-CB,7750,10.190.3.233,11000,IPMEAN-external:TP_policy
MEX-M1-EA,7750,10.190.3.234,11000,IPMEAN-external:TP_policy
MEX-M1-EB,7750,10.190.3.235,11000,IPMEAN-external:TP_policy
REV-M2-EA,7750,10.190.3.238,11000,IPMEAN-external:TP_policy
REV-M2-EB,7750,10.190.3.239,11000,IPMEAN-external:TP_policy
TOL-R6-EA,7750,10.190.3.240,11000,IPMEAN-external:TP_policy
TOL-R6-EB,7750,10.190.3.241,11000,IPMEAN-external:TP_policy
MEX-M1-CA,7750,10.190.3.246,11000,IPMEAN-external:TP_policy
MER-M6-CA,7750,10.190.3.26,11000,IPMEAN-external:TP_policy
MER-M6-CB,7750,10.190.3.27,11000,IPMEAN-external:TP_policy
MER-M6-EA,7750,10.190.3.28,11000,IPMEAN-external:TP_policy
MER-M6-EB,7750,10.190.3.29,11000,IPMEAN-external:TP_policy
VHE-R19-EA,7750,10.190.3.30,11000,IPMEAN-external:TP_policy
VHE-R19-EB,7750,10.190.3.31,11000,IPMEAN-external:TP_policy
CUN-R2-EA,7750,10.190.3.34,11000,IPMEAN-external:TP_policy
CUN-R2-EB,7750,10.190.3.35,11000,IPMEAN-external:TP_policy
VALLADOLID-WA,7750,10.190.3.38,11000,IPMEAN-external:TP_policy
VALLADO-YUC8002-GA,7750,10.190.3.39,11000,IPMEAN-external:TP_policy
TOLUCI-MEX9227-GA,7750,10.190.3.49,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-CA,7750,10.190.3.50,11000,IPMEAN-external:TP_policy
TOLBUE-MEX9295-CB,7750,10.190.3.51,11000,IPMEAN-external:TP_policy
VILLAV-MEX9322-GA,7750,10.190.3.52,11000,IPMEAN-external:TP_policy
SEMINA-MEX9110-GA,7750,10.190.3.53,11000,IPMEAN-external:TP_policy
TOLUCA2-MEX9167-GA,7750,10.190.3.54,11000,IPMEAN-external:TP_policy
PROVID-MEX9103-GA,7750,10.190.3.55,11000,IPMEAN-external:TP_policy
ATENCO-MEX9285-GA,7750,10.190.3.56,11000,IPMEAN-external:TP_policy
TOTOLT-MEX9268-GA,7750,10.190.3.57,11000,IPMEAN-external:TP_policy
VIHMTX-TAB8018-EA,7750,10.190.3.6,11000,IPMEAN-external:TP_policy
STAFE1-MEX9192-CA,7750,10.190.3.60,11000,IPMEAN-external:TP_policy
STAFE1-MEX9192-CB,7750,10.190.3.61,11000,IPMEAN-external:TP_policy
STAFE1-MEX9192-GA,7750,10.190.3.62,11000,IPMEAN-external:TP_policy
ALVOBR-MEX9224-GA,7750,10.190.3.63,11000,IPMEAN-external:TP_policy
COYOAC-MEX9053-GA,7750,10.190.3.65,11000,IPMEAN-external:TP_policy
DELVAL-MEX9027-GA,7750,10.190.3.66,11000,IPMEAN-external:TP_policy
SANCOS-MEX9190-GA,7750,10.190.3.68,11000,IPMEAN-external:TP_policy
MELOCA-MEX9242-GA,7750,10.190.3.69,11000,IPMEAN-external:TP_policy
VIHMTX-TAB8018-EB,7750,10.190.3.7,11000,IPMEAN-external:TP_policy
HORACI-MEX9040-GA,7750,10.190.3.70,11000,IPMEAN-external:TP_policy
VISHER-MEX9018-GA,7750,10.190.3.71,11000,IPMEAN-external:TP_policy
SANGEL-MEX200-GA,7750,10.190.3.73,11000,IPMEAN-external:TP_policy
SANJER-MEX9080-GA,7750,10.190.3.74,11000,IPMEAN-external:TP_policy
PEDREG-MEX9064-GA,7750,10.190.3.75,11000,IPMEAN-external:TP_policy
CTOAZT-MEX9035-GA,7750,10.190.3.76,11000,IPMEAN-external:TP_policy
TEPEPA-MEX9228-GA,7750,10.190.3.78,11000,IPMEAN-external:TP_policy
ELHUES-MEX9061-GA,7750,10.190.3.79,11000,IPMEAN-external:TP_policy
TLALNE-MEX9226-CA,7750,10.190.3.80,11000,IPMEAN-external:TP_policy
TLALNE-MEX9226-CB,7750,10.190.3.81,11000,IPMEAN-external:TP_policy
CUAIZC-MEX9164-GA,7750,10.190.3.82,11000,IPMEAN-external:TP_policy
BOSLAG-MEX9296-GA,7750,10.190.3.83,11000,IPMEAN-external:TP_policy
BALCON-MEX9308-GA,7750,10.190.3.84,11000,IPMEAN-external:TP_policy
STAMON-MEX9283-GA,7750,10.190.3.85,11000,IPMEAN-external:TP_policy
SATELI-MEX9111-GA,7750,10.190.3.86,11000,IPMEAN-external:TP_policy
LOMVER-MEX9060-GA,7750,10.190.3.87,11000,IPMEAN-external:TP_policy
BARRIE-MEX0307-GA,7750,10.190.3.88,11000,IPMEAN-external:TP_policy
COACAL-MEX9059-GA,7750,10.190.3.89,11000,IPMEAN-external:TP_policy
ECATEP-MEX9182-GA,7750,10.190.3.90,11000,IPMEAN-external:TP_policy
LASAME-MEX9012-GA,7750,10.190.3.91,11000,IPMEAN-external:TP_policy
VERGEL-MEX121-GA,7750,10.190.3.92,11000,IPMEAN-external:TP_policy
TLALNE-MEX9226-GA,7750,10.190.3.93,11000,IPMEAN-external:TP_policy
CHIQUI-MEXIN028-GA,7750,10.190.3.94,11000,IPMEAN-external:TP_policy
XALOST-MEX220-GA,7750,10.190.3.95,11000,IPMEAN-external:TP_policy
ARAGON-MEX9301-GA,7750,10.190.3.96,11000,IPMEAN-external:TP_policy
PANTIT-MEX118H-GA,7750,10.190.3.97,11000,IPMEAN-external:TP_policy
OLIPAD-IUSTB00945-WA,7750,10.190.3.99,11000,IPMEAN-external:TP_policy
GUANAJUATO-WA,7750,10.190.4.106,11000,IPMEAN-external:TP_policy
GUANAJU-GUJ6098-GA,7750,10.190.4.107,11000,IPMEAN-external:TP_policy
MXGUALEO0299RTAGG01,7750,10.190.4.116,11000,IPMEAN-external:TP_policy
MXGUAIRA0241RTCORE01,7750,10.190.4.124,11000,IPMEAN-external:TP_policy
MXGUAIRA0249RTAGG01,7750,10.190.4.126,11000,IPMEAN-external:TP_policy
ACA-R1-EA,7750,10.190.4.127,11000,IPMEAN-external:TP_policy
ACA-R1-EB,7750,10.190.4.128,11000,IPMEAN-external:TP_policy
ACA-R1-GA-A,7750,10.190.4.129,11000,IPMEAN-external:TP_policy
ACA-R1-GA-B,7750,10.190.4.130,11000,IPMEAN-external:TP_policy
REFTULA-HID9001-GA,7750,10.190.4.131,11000,IPMEAN-external:TP_policy
REFTULA-HID9001-WA,7750,10.190.4.132,11000,IPMEAN-external:TP_policy
CUAUTL-MORL9005-GA,7750,10.190.4.133,11000,IPMEAN-external:TP_policy
YAUTEPE-MEX9005-WA,7750,10.190.4.134,11000,IPMEAN-external:TP_policy
MXVERCOR0493RTAGG01,7750,10.190.4.146,11000,IPMEAN-external:TP_policy
MXVERCOR0492RTAGG01,7750,10.190.4.156,11000,IPMEAN-external:TP_policy
MXHGDL0210RTAGG01,7750,10.190.4.164,11000,IPMEAN-external:TP_policy
TORDIA-DIFCHT6125-GA,7750,10.190.4.172,11000,IPMEAN-external:TP_policy
TORDIA-DIFCHT6125-GB,7750,10.190.4.173,11000,IPMEAN-external:TP_policy
ALBOLI-MEX9700-CB,7750,10.190.4.174,11000,IPMEAN-external:TP_policy
ALBOLI-MEX9700-EB,7750,10.190.4.175,11000,IPMEAN-external:TP_policy
MXHLEO0103RTAGG01,7750,10.190.4.244,11000,IPMEAN-external:TP_policy
MXJALLAG0778RTAGG01,7750,10.190.4.245,11000,IPMEAN-external:TP_policy
TPC-R16-EA,7750,10.190.4.64,11000,IPMEAN-external:TP_policy
TPC-R16-EB,7750,10.190.4.65,11000,IPMEAN-external:TP_policy
MXJALTEM0866RTAGG01,7750,10.190.4.86,11000,IPMEAN-external:TP_policy
MXJALTEM0866RTCORE01,7750,10.190.4.91,11000,IPMEAN-external:TP_policy
