Sysname,model,source,networ,description
ACAMTX-ACAMTX-EB,7750,10.190.2.176,1000,IPMEAN-internal:standard_policy:7xFCs
ACAMTX-ACAMTX-SA,7450,10.190.2.177,1000,IPMEAN-internal:standard_policy:7xFCs
ACAMTX-ACAMTX-SB,7450,10.190.2.178,1000,IPMEAN-internal:standard_policy:7xFCs
ACSMTX-BB019-GA,7750,10.190.2.18,1000,IPMEAN-internal:standard_policy:7xFCs
TEHUAC-PUE7026-GA,7750,10.190.2.180,1000,IPMEAN-internal:standard_policy:7xFCs
ELABUE-VER7027-GA,7750,10.190.2.182,1000,IPMEAN-internal:standard_policy:7xFCs
ZIHGTA-GUE7041-WA,7750,10.190.2.184,1000,IPMEAN-internal:standard_policy:7xFCs
MXVERCTZ0509RTAGG01,7750,10.190.2.185,1000,IPMEAN-internal:standard_policy:7xFCs
CIUDAD-GUJ6020-GA,7750,10.190.2.19,1000,IPMEAN-internal:standard_policy:7xFCs
HUATUL-IUSTB00991-WA,7750,10.190.2.190,1000,IPMEAN-internal:standard_policy:7xFCs
PUE-R4-EA,7750,10.190.2.191,1000,IPMEAN-internal:standard_policy:7xFCs
PUE-R4-EB,7750,10.190.2.192,1000,IPMEAN-internal:standard_policy:7xFCs
VER-R18-EA,7750,10.190.2.193,1000,IPMEAN-internal:standard_policy:7xFCs
VER-R18-EB,7750,10.190.2.194,1000,IPMEAN-internal:standard_policy:7xFCs
VER-R18-GA-A,7750,10.190.2.195,1000,IPMEAN-internal:standard_policy:7xFCs
VER-R18-GA-B,7750,10.190.2.196,1000,IPMEAN-internal:standard_policy:7xFCs
LATORR-GUJ6035-GA,7750,10.190.2.20,1000,IPMEAN-internal:standard_policy:7xFCs
MERMTX-YUC8012-CA,7750,10.190.2.200,1000,IPMEAN-internal:standard_policy:7xFCs
MERMTX-YUC8012-CB,7750,10.190.2.201,1000,IPMEAN-internal:standard_policy:7xFCs
VHGTAC-IUSTB00974-WA,7750,10.190.2.202,1000,IPMEAN-internal:standard_policy:7xFCs
VIHMTX-TAB8018-CA,7750,10.190.2.203,1000,IPMEAN-internal:standard_policy:7xFCs
VIHMTX-TAB8018-CB,7750,10.190.2.204,1000,IPMEAN-internal:standard_policy:7xFCs
ALAME6-GUJ6061-GA,7750,10.190.2.21,1000,IPMEAN-internal:standard_policy:7xFCs
MALGTA-IUSTB00971-WA,7750,10.190.2.210,1000,IPMEAN-internal:standard_policy:7xFCs
MAMGTA-IUSTB00973-WA,7750,10.190.2.211,1000,IPMEAN-internal:standard_policy:7xFCs
TUXGTA-IUSTB00982-WA,7750,10.190.2.212,1000,IPMEAN-internal:standard_policy:7xFCs
MERCCO-YUC8004-GA,7750,10.190.2.213,1000,IPMEAN-internal:standard_policy:7xFCs
PASMON-YUC8014-GA,7750,10.190.2.214,1000,IPMEAN-internal:standard_policy:7xFCs
MECTRO-YUC8025-GA,7750,10.190.2.215,1000,IPMEAN-internal:standard_policy:7xFCs
PZADOR-YUC8022-GA,7750,10.190.2.217,1000,IPMEAN-internal:standard_policy:7xFCs
FRAMON-YUC8005-GA,7750,10.190.2.218,1000,IPMEAN-internal:standard_policy:7xFCs
CLUGOL-GUJ6051-GA,7750,10.190.2.22,1000,IPMEAN-internal:standard_policy:7xFCs
TERAN-CHP8031-GA,7750,10.190.2.220,1000,IPMEAN-internal:standard_policy:7xFCs
CAMGTA-IUSTB00977-WA,7750,10.190.2.221,1000,IPMEAN-internal:standard_policy:7xFCs
CARGTA-IUSTB00984-WA,7750,10.190.2.223,1000,IPMEAN-internal:standard_policy:7xFCs
DELCAR-ROO8062-GA,7750,10.190.2.224,1000,IPMEAN-internal:standard_policy:7xFCs
ESCGTA-IUSTB00983-WA,7750,10.190.2.225,1000,IPMEAN-internal:standard_policy:7xFCs
ESCARC-CAM8009-GA,7750,10.190.2.226,1000,IPMEAN-internal:standard_policy:7xFCs
TICGTA-IUSTB00975-WA,7750,10.190.2.227,1000,IPMEAN-internal:standard_policy:7xFCs
TUXCOL-CHP8001-GA,7750,10.190.2.228,1000,IPMEAN-internal:standard_policy:7xFCs
CHEGTA-IUSTB00985-WA,7750,10.190.2.229,1000,IPMEAN-internal:standard_policy:7xFCs
CHETUM-ROO7013-GA,7750,10.190.2.230,1000,IPMEAN-internal:standard_policy:7xFCs
TUXMXT-TUXMTX-GA,7750,10.190.2.231,1000,IPMEAN-internal:standard_policy:7xFCs
TAPCOL-CHP8028-GA,7750,10.190.2.232,1000,IPMEAN-internal:standard_policy:7xFCs
LAUREL-CHP8022-GA,7750,10.190.2.233,1000,IPMEAN-internal:standard_policy:7xFCs
CANGTA-IUSTB00944-WA,7750,10.190.2.234,1000,IPMEAN-internal:standard_policy:7xFCs
TULIPA-CHP8023-GA,7750,10.190.2.235,1000,IPMEAN-internal:standard_policy:7xFCs
MERMTX-YUC8012-EA,7750,10.190.2.238,1000,IPMEAN-internal:standard_policy:7xFCs
MERMTX-YUC8012-EB,7750,10.190.2.239,1000,IPMEAN-internal:standard_policy:7xFCs
PERSEO-AGS6014-GA,7750,10.190.2.24,1000,IPMEAN-internal:standard_policy:7xFCs
MERMTX-YUC8012-SA,7450,10.190.2.240,1000,IPMEAN-internal:standard_policy:7xFCs
MERMTX-YUC8012-SB,7450,10.190.2.241,1000,IPMEAN-internal:standard_policy:7xFCs
MERGTA-IUSTB00976-WA,7750,10.190.2.249,1000,IPMEAN-internal:standard_policy:7xFCs
ESPANA-SLP6003-GA,7750,10.190.2.25,1000,IPMEAN-internal:standard_policy:7xFCs
CANMTX-ROO8018-CA,7750,10.190.2.250,1000,IPMEAN-internal:standard_policy:7xFCs
CANMTX-ROO8018-CB,7750,10.190.2.251,1000,IPMEAN-internal:standard_policy:7xFCs
CAMPES-AGS6006-GA,7750,10.190.2.26,1000,IPMEAN-internal:standard_policy:7xFCs
ACSGTA-BB019-WA,7750,10.190.2.27,1000,IPMEAN-internal:standard_policy:7xFCs
GUADPE-GPE6006-GA,7750,10.190.2.28,1000,IPMEAN-internal:standard_policy:7xFCs
ZACGTA-ZAC6006-WA,7750,10.190.2.29,1000,IPMEAN-internal:standard_policy:7xFCs
SLPMTX-SLP162H-GA,7750,10.190.2.31,1000,IPMEAN-internal:standard_policy:7xFCs
IGNMAR-SLP151H-GA,7750,10.190.2.32,1000,IPMEAN-internal:standard_policy:7xFCs
LASHAD-AGS6012-GA,7750,10.190.2.33,1000,IPMEAN-internal:standard_policy:7xFCs
ALAMIT-SLP6017-GA,7750,10.190.2.34,1000,IPMEAN-internal:standard_policy:7xFCs
TINREV-QRO102-GA,7750,10.190.2.36,1000,IPMEAN-internal:standard_policy:7xFCs
TECNOL-QUE6009-GA,7750,10.190.2.38,1000,IPMEAN-internal:standard_policy:7xFCs
JARDIN-QUE6015-GA,7750,10.190.2.39,1000,IPMEAN-internal:standard_policy:7xFCs
SANJUA-QUE6008-GA,7750,10.190.2.40,1000,IPMEAN-internal:standard_policy:7xFCs
SANPAB-QUE6017-GA,7750,10.190.2.41,1000,IPMEAN-internal:standard_policy:7xFCs
ALLEND-GUJ6059-GA,7750,10.190.2.64,1000,IPMEAN-internal:standard_policy:7xFCs
SNMIAL-GUJ6033-GA,7750,10.190.2.66,1000,IPMEAN-internal:standard_policy:7xFCs
QRO-R7-EA,7750,10.190.2.68,1000,IPMEAN-internal:standard_policy:7xFCs
QRO-R7-EB,7750,10.190.2.69,1000,IPMEAN-internal:standard_policy:7xFCs
LEO-R3-EA,7750,10.190.2.72,1000,IPMEAN-internal:standard_policy:7xFCs
LEO-R3-EB,7750,10.190.2.73,1000,IPMEAN-internal:standard_policy:7xFCs
ZAC-R21-EB,7750,10.190.2.81,1000,IPMEAN-internal:standard_policy:7xFCs
ZAC-R21-GA-A,7750,10.190.2.82,1000,IPMEAN-internal:standard_policy:7xFCs
ZAC-R21-GA-B,7750,10.190.2.83,1000,IPMEAN-internal:standard_policy:7xFCs
SANJUANDELOSLAGOS-WA,7750,10.190.2.84,1000,IPMEAN-internal:standard_policy:7xFCs
SNJUALA-JAL5031S-GA,7750,10.190.2.85,1000,IPMEAN-internal:standard_policy:7xFCs
SALAMANCA-WA,7750,10.190.2.86,1000,IPMEAN-internal:standard_policy:7xFCs
VILLAF-GUJ6111-GA,7750,10.190.2.87,1000,IPMEAN-internal:standard_policy:7xFCs
ZAMORA-WA,7750,10.190.2.88,1000,IPMEAN-internal:standard_policy:7xFCs
SILAO-WA,7750,10.190.2.90,1000,IPMEAN-internal:standard_policy:7xFCs
SNMIGAL-GUJ6033-WA,7750,10.190.2.92,1000,IPMEAN-internal:standard_policy:7xFCs
APIZACO-PUE7073-WA,7750,10.190.2.94,1000,IPMEAN-internal:standard_policy:7xFCs
APIZACO-TLAX7005-GA,7750,10.190.2.95,1000,IPMEAN-internal:standard_policy:7xFCs
PZR-R14-EA,7750,10.190.2.96,1000,IPMEAN-internal:standard_policy:7xFCs
PZR-R14-EB,7750,10.190.2.97,1000,IPMEAN-internal:standard_policy:7xFCs
PZR-R14-GA-A,7750,10.190.2.98,1000,IPMEAN-internal:standard_policy:7xFCs
PZR-R14-GA-B,7750,10.190.2.99,1000,IPMEAN-internal:standard_policy:7xFCs
PCGTAC-IUSTB00943-WA,7750,10.190.3.0,1000,IPMEAN-internal:standard_policy:7xFCs
PLACAR-ROO8017-GA,7750,10.190.3.1,1000,IPMEAN-internal:standard_policy:7xFCs
VIHMTX-TAB8018-SA,7450,10.190.3.10,1000,IPMEAN-internal:standard_policy:7xFCs
PANTIT-MEX118H-CA,7750,10.190.3.100,1000,IPMEAN-internal:standard_policy:7xFCs
ALBOLI-MEX9700-CA,7750,10.190.3.101,1000,IPMEAN-internal:standard_policy:7xFCs
CAMARA-MEX9220-GA,7750,10.190.3.102,1000,IPMEAN-internal:standard_policy:7xFCs
LINDAV-MEX9075-GA,7750,10.190.3.103,1000,IPMEAN-internal:standard_policy:7xFCs
PELICA-MEX9265-GA,7750,10.190.3.104,1000,IPMEAN-internal:standard_policy:7xFCs
BENJUA-MEX9297-GA,7750,10.190.3.105,1000,IPMEAN-internal:standard_policy:7xFCs
NARVAR-MEX9230-GA,7750,10.190.3.106,1000,IPMEAN-internal:standard_policy:7xFCs
LA-PAZ-MEX9163-GA,7750,10.190.3.107,1000,IPMEAN-internal:standard_policy:7xFCs
LOSREY-MEX9207-GA,7750,10.190.3.108,1000,IPMEAN-internal:standard_policy:7xFCs
RIOFRI-MEX115-GA,7750,10.190.3.109,1000,IPMEAN-internal:standard_policy:7xFCs
VIHMTX-TAB8018-SB,7450,10.190.3.11,1000,IPMEAN-internal:standard_policy:7xFCs
IZTAPA-MEX116H-GA,7750,10.190.3.110,1000,IPMEAN-internal:standard_policy:7xFCs
TAXQUE-MEX9113-GA,7750,10.190.3.111,1000,IPMEAN-internal:standard_policy:7xFCs
MIRAMO-MEX9251-GA,7750,10.190.3.112,1000,IPMEAN-internal:standard_policy:7xFCs
AZTNOV-MEX174-GA,7750,10.190.3.113,1000,IPMEAN-internal:standard_policy:7xFCs
CABJUA-MEX9066-GA,7750,10.190.3.114,1000,IPMEAN-internal:standard_policy:7xFCs
NEZA-MEX9079-GA,7750,10.190.3.115,1000,IPMEAN-internal:standard_policy:7xFCs
TLAHUA-MEX9170-GA,7750,10.190.3.116,1000,IPMEAN-internal:standard_policy:7xFCs
TULYEH-MEX9169-GA,7750,10.190.3.117,1000,IPMEAN-internal:standard_policy:7xFCs
CULHUA-MEX9091-GA,7750,10.190.3.118,1000,IPMEAN-internal:standard_policy:7xFCs
CHURUB-MEX9028-GA,7750,10.190.3.119,1000,IPMEAN-internal:standard_policy:7xFCs
MAQUEV-MEX9289-GA,7750,10.190.3.120,1000,IPMEAN-internal:standard_policy:7xFCs
PEDRSU-MEX089-GA,7750,10.190.3.121,1000,IPMEAN-internal:standard_policy:7xFCs
FUEBRO-MEX155H-GA,7750,10.190.3.123,1000,IPMEAN-internal:standard_policy:7xFCs
TORUNE-MEX9544-GA,7750,10.190.3.124,1000,IPMEAN-internal:standard_policy:7xFCs
NEXTEN-MEX056-GA,7750,10.190.3.125,1000,IPMEAN-internal:standard_policy:7xFCs
LASOLE-MEX9161-GA,7750,10.190.3.126,1000,IPMEAN-internal:standard_policy:7xFCs
TECAMA-MEX9115-GA,7750,10.190.3.127,1000,IPMEAN-internal:standard_policy:7xFCs
ANAHUA-MEX1089-GA,7750,10.190.3.128,1000,IPMEAN-internal:standard_policy:7xFCs
CUAJIM-MEX9084-GA,7750,10.190.3.129,1000,IPMEAN-internal:standard_policy:7xFCs
AZCAPO-MEX9011-GA,7750,10.190.3.130,1000,IPMEAN-internal:standard_policy:7xFCs
ECHEGA-MEX9184-GA,7750,10.190.3.131,1000,IPMEAN-internal:standard_policy:7xFCs
CLAVER-MEX9047-GA,7750,10.190.3.132,1000,IPMEAN-internal:standard_policy:7xFCs
HIPODR-MEX9039-GA,7750,10.190.3.133,1000,IPMEAN-internal:standard_policy:7xFCs
LARAZA-MEX9119-GA,7750,10.190.3.135,1000,IPMEAN-internal:standard_policy:7xFCs
ALAMED-MEX9117-GA,7750,10.190.3.137,1000,IPMEAN-internal:standard_policy:7xFCs
ROMNTE-HMEX0172-GA,7750,10.190.3.138,1000,IPMEAN-internal:standard_policy:7xFCs
CONDES-MEX9062-GA,7750,10.190.3.139,1000,IPMEAN-internal:standard_policy:7xFCs
ALBOLI-MEX9700-EA,7750,10.190.3.140,1000,IPMEAN-internal:standard_policy:7xFCs
CUERN1-MORL9025-GA,7750,10.190.3.141,1000,IPMEAN-internal:standard_policy:7xFCs
CAPUFE-MORL9022-GA,7750,10.190.3.142,1000,IPMEAN-internal:standard_policy:7xFCs
CUERN2-MORL9004-GA,7750,10.190.3.143,1000,IPMEAN-internal:standard_policy:7xFCs
ZODIAC-MORL9021-GA,7750,10.190.3.145,1000,IPMEAN-internal:standard_policy:7xFCs
CUERN3-MORL9006-GA,7750,10.190.3.146,1000,IPMEAN-internal:standard_policy:7xFCs
VABGTA-IUSTB00947-WA,7750,10.190.3.147,1000,IPMEAN-internal:standard_policy:7xFCs
TECPAC-HID9005-GA,7750,10.190.3.149,1000,IPMEAN-internal:standard_policy:7xFCs
NUEHID-HID9012-GA,7750,10.190.3.150,1000,IPMEAN-internal:standard_policy:7xFCs
VILALA-HID9014-GA,7750,10.190.3.151,1000,IPMEAN-internal:standard_policy:7xFCs
CUBIUS-HID9002-GA,7750,10.190.3.152,1000,IPMEAN-internal:standard_policy:7xFCs
TEPEY-HID9071-GA,7750,10.190.3.153,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-SA,7450,10.190.3.154,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-SB,7450,10.190.3.155,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-EA,7750,10.190.3.156,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-EB,7750,10.190.3.157,1000,IPMEAN-internal:standard_policy:7xFCs
AREMEX-MEX9851-GA,7750,10.190.3.164,1000,IPMEAN-internal:standard_policy:7xFCs
CANMTX-ROO8018-EA,7750,10.190.3.17,1000,IPMEAN-internal:standard_policy:7xFCs
CANMTX-ROO8018-EB,7750,10.190.3.18,1000,IPMEAN-internal:standard_policy:7xFCs
CANMTX-ROO8018-SA,7450,10.190.3.19,1000,IPMEAN-internal:standard_policy:7xFCs
CANMTX-ROO8018-SB,7450,10.190.3.20,1000,IPMEAN-internal:standard_policy:7xFCs
TLALNE-MEX9226-SA,7450,10.190.3.209,1000,IPMEAN-internal:standard_policy:7xFCs
TLALNE-MEX9226-SB,7450,10.190.3.210,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-IEA,7750,10.190.3.213,1000,IPMEAN-internal:standard_policy:7xFCs
SANFCO-MEX9238-GA,7750,10.190.3.214,1000,IPMEAN-internal:standard_policy:7xFCs
MCSXOC-MEX506H-GA,7750,10.190.3.216,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-SC,7450,10.190.3.218,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-SD,7450,10.190.3.219,1000,IPMEAN-internal:standard_policy:7xFCs
LEGARIA-MEX9076-GA,7750,10.190.3.230,1000,IPMEAN-internal:standard_policy:7xFCs
NEWMAN-GA,7750,10.190.3.232,1000,IPMEAN-internal:standard_policy:7xFCs
MEX-M1-CB,7750,10.190.3.233,1000,IPMEAN-internal:standard_policy:7xFCs
MEX-M1-EA,7750,10.190.3.234,1000,IPMEAN-internal:standard_policy:7xFCs
MEX-M1-EB,7750,10.190.3.235,1000,IPMEAN-internal:standard_policy:7xFCs
REV-M2-EA,7750,10.190.3.238,1000,IPMEAN-internal:standard_policy:7xFCs
REV-M2-EB,7750,10.190.3.239,1000,IPMEAN-internal:standard_policy:7xFCs
TOL-R6-EA,7750,10.190.3.240,1000,IPMEAN-internal:standard_policy:7xFCs
TOL-R6-EB,7750,10.190.3.241,1000,IPMEAN-internal:standard_policy:7xFCs
MEX-M1-CA,7750,10.190.3.246,1000,IPMEAN-internal:standard_policy:7xFCs
MER-M6-CA,7750,10.190.3.26,1000,IPMEAN-internal:standard_policy:7xFCs
MER-M6-CB,7750,10.190.3.27,1000,IPMEAN-internal:standard_policy:7xFCs
MER-M6-EA,7750,10.190.3.28,1000,IPMEAN-internal:standard_policy:7xFCs
MER-M6-EB,7750,10.190.3.29,1000,IPMEAN-internal:standard_policy:7xFCs
VHE-R19-EA,7750,10.190.3.30,1000,IPMEAN-internal:standard_policy:7xFCs
VHE-R19-EB,7750,10.190.3.31,1000,IPMEAN-internal:standard_policy:7xFCs
CUN-R2-EA,7750,10.190.3.34,1000,IPMEAN-internal:standard_policy:7xFCs
CUN-R2-EB,7750,10.190.3.35,1000,IPMEAN-internal:standard_policy:7xFCs
VALLADOLID-WA,7750,10.190.3.38,1000,IPMEAN-internal:standard_policy:7xFCs
VALLADO-YUC8002-GA,7750,10.190.3.39,1000,IPMEAN-internal:standard_policy:7xFCs
TOLUCI-MEX9227-GA,7750,10.190.3.49,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-CA,7750,10.190.3.50,1000,IPMEAN-internal:standard_policy:7xFCs
TOLBUE-MEX9295-CB,7750,10.190.3.51,1000,IPMEAN-internal:standard_policy:7xFCs
VILLAV-MEX9322-GA,7750,10.190.3.52,1000,IPMEAN-internal:standard_policy:7xFCs
SEMINA-MEX9110-GA,7750,10.190.3.53,1000,IPMEAN-internal:standard_policy:7xFCs
TOLUCA2-MEX9167-GA,7750,10.190.3.54,1000,IPMEAN-internal:standard_policy:7xFCs
PROVID-MEX9103-GA,7750,10.190.3.55,1000,IPMEAN-internal:standard_policy:7xFCs
ATENCO-MEX9285-GA,7750,10.190.3.56,1000,IPMEAN-internal:standard_policy:7xFCs
TOTOLT-MEX9268-GA,7750,10.190.3.57,1000,IPMEAN-internal:standard_policy:7xFCs
VIHMTX-TAB8018-EA,7750,10.190.3.6,1000,IPMEAN-internal:standard_policy:7xFCs
STAFE1-MEX9192-CA,7750,10.190.3.60,1000,IPMEAN-internal:standard_policy:7xFCs
STAFE1-MEX9192-CB,7750,10.190.3.61,1000,IPMEAN-internal:standard_policy:7xFCs
STAFE1-MEX9192-GA,7750,10.190.3.62,1000,IPMEAN-internal:standard_policy:7xFCs
ALVOBR-MEX9224-GA,7750,10.190.3.63,1000,IPMEAN-internal:standard_policy:7xFCs
COYOAC-MEX9053-GA,7750,10.190.3.65,1000,IPMEAN-internal:standard_policy:7xFCs
DELVAL-MEX9027-GA,7750,10.190.3.66,1000,IPMEAN-internal:standard_policy:7xFCs
SANCOS-MEX9190-GA,7750,10.190.3.68,1000,IPMEAN-internal:standard_policy:7xFCs
MELOCA-MEX9242-GA,7750,10.190.3.69,1000,IPMEAN-internal:standard_policy:7xFCs
VIHMTX-TAB8018-EB,7750,10.190.3.7,1000,IPMEAN-internal:standard_policy:7xFCs
HORACI-MEX9040-GA,7750,10.190.3.70,1000,IPMEAN-internal:standard_policy:7xFCs
VISHER-MEX9018-GA,7750,10.190.3.71,1000,IPMEAN-internal:standard_policy:7xFCs
SANGEL-MEX200-GA,7750,10.190.3.73,1000,IPMEAN-internal:standard_policy:7xFCs
SANJER-MEX9080-GA,7750,10.190.3.74,1000,IPMEAN-internal:standard_policy:7xFCs
PEDREG-MEX9064-GA,7750,10.190.3.75,1000,IPMEAN-internal:standard_policy:7xFCs
CTOAZT-MEX9035-GA,7750,10.190.3.76,1000,IPMEAN-internal:standard_policy:7xFCs
TEPEPA-MEX9228-GA,7750,10.190.3.78,1000,IPMEAN-internal:standard_policy:7xFCs
ELHUES-MEX9061-GA,7750,10.190.3.79,1000,IPMEAN-internal:standard_policy:7xFCs
TLALNE-MEX9226-CA,7750,10.190.3.80,1000,IPMEAN-internal:standard_policy:7xFCs
TLALNE-MEX9226-CB,7750,10.190.3.81,1000,IPMEAN-internal:standard_policy:7xFCs
CUAIZC-MEX9164-GA,7750,10.190.3.82,1000,IPMEAN-internal:standard_policy:7xFCs
BOSLAG-MEX9296-GA,7750,10.190.3.83,1000,IPMEAN-internal:standard_policy:7xFCs
BALCON-MEX9308-GA,7750,10.190.3.84,1000,IPMEAN-internal:standard_policy:7xFCs
STAMON-MEX9283-GA,7750,10.190.3.85,1000,IPMEAN-internal:standard_policy:7xFCs
SATELI-MEX9111-GA,7750,10.190.3.86,1000,IPMEAN-internal:standard_policy:7xFCs
LOMVER-MEX9060-GA,7750,10.190.3.87,1000,IPMEAN-internal:standard_policy:7xFCs
BARRIE-MEX0307-GA,7750,10.190.3.88,1000,IPMEAN-internal:standard_policy:7xFCs
COACAL-MEX9059-GA,7750,10.190.3.89,1000,IPMEAN-internal:standard_policy:7xFCs
ECATEP-MEX9182-GA,7750,10.190.3.90,1000,IPMEAN-internal:standard_policy:7xFCs
LASAME-MEX9012-GA,7750,10.190.3.91,1000,IPMEAN-internal:standard_policy:7xFCs
VERGEL-MEX121-GA,7750,10.190.3.92,1000,IPMEAN-internal:standard_policy:7xFCs
TLALNE-MEX9226-GA,7750,10.190.3.93,1000,IPMEAN-internal:standard_policy:7xFCs
CHIQUI-MEXIN028-GA,7750,10.190.3.94,1000,IPMEAN-internal:standard_policy:7xFCs
XALOST-MEX220-GA,7750,10.190.3.95,1000,IPMEAN-internal:standard_policy:7xFCs
ARAGON-MEX9301-GA,7750,10.190.3.96,1000,IPMEAN-internal:standard_policy:7xFCs
PANTIT-MEX118H-GA,7750,10.190.3.97,1000,IPMEAN-internal:standard_policy:7xFCs
OLIPAD-IUSTB00945-WA,7750,10.190.3.99,1000,IPMEAN-internal:standard_policy:7xFCs
GUANAJUATO-WA,7750,10.190.4.106,1000,IPMEAN-internal:standard_policy:7xFCs
GUANAJU-GUJ6098-GA,7750,10.190.4.107,1000,IPMEAN-internal:standard_policy:7xFCs
MXGUALEO0299RTAGG01,7750,10.190.4.116,1000,IPMEAN-internal:standard_policy:7xFCs
MXGUAIRA0249RTAGG01,7750,10.190.4.126,1000,IPMEAN-internal:standard_policy:7xFCs
ACA-R1-EA,7750,10.190.4.127,1000,IPMEAN-internal:standard_policy:7xFCs
ACA-R1-EB,7750,10.190.4.128,1000,IPMEAN-internal:standard_policy:7xFCs
ACA-R1-GA-A,7750,10.190.4.129,1000,IPMEAN-internal:standard_policy:7xFCs
ACA-R1-GA-B,7750,10.190.4.130,1000,IPMEAN-internal:standard_policy:7xFCs
REFTULA-HID9001-GA,7750,10.190.4.131,1000,IPMEAN-internal:standard_policy:7xFCs
REFTULA-HID9001-WA,7750,10.190.4.132,1000,IPMEAN-internal:standard_policy:7xFCs
CUAUTL-MORL9005-GA,7750,10.190.4.133,1000,IPMEAN-internal:standard_policy:7xFCs
YAUTEPE-MEX9005-WA,7750,10.190.4.134,1000,IPMEAN-internal:standard_policy:7xFCs
MXVERCOR0493RTAGG01,7750,10.190.4.146,1000,IPMEAN-internal:standard_policy:7xFCs
MXVERCOR0492RTAGG01,7750,10.190.4.156,1000,IPMEAN-internal:standard_policy:7xFCs
MXHGDL0210RTAGG01,7750,10.190.4.164,1000,IPMEAN-internal:standard_policy:7xFCs
TORDIA-DIFCHT6125-GA,7750,10.190.4.172,1000,IPMEAN-internal:standard_policy:7xFCs
TORDIA-DIFCHT6125-GB,7750,10.190.4.173,1000,IPMEAN-internal:standard_policy:7xFCs
ALBOLI-MEX9700-CB,7750,10.190.4.174,1000,IPMEAN-internal:standard_policy:7xFCs
ALBOLI-MEX9700-EB,7750,10.190.4.175,1000,IPMEAN-internal:standard_policy:7xFCs
MXHLEO0103RTAGG01,7750,10.190.4.244,1000,IPMEAN-internal:standard_policy:7xFCs
MXJALLAG0778RTAGG01,7750,10.190.4.245,1000,IPMEAN-internal:standard_policy:7xFCs
TPC-R16-EA,7750,10.190.4.64,1000,IPMEAN-internal:standard_policy:7xFCs
TPC-R16-EB,7750,10.190.4.65,1000,IPMEAN-internal:standard_policy:7xFCs
MXJALTEM0866RTAGG01,7750,10.190.4.86,1000,IPMEAN-internal:standard_policy:7xFCs
MXJALTEM0866RTCORE01,7750,10.190.4.91,1000,IPMEAN-internal:standard_policy:7xFCs
